Checkpoint sweep — classical — logs/agvpreid_qplr/80ep_fresh
Epoch        Rank-1   Rank-5
------------------------------
ep05        51.70%   70.30%
ep10        45.10%   64.60%
ep15        51.40%   69.50%
ep20        45.30%   64.50%
ep25        22.10%   38.40%
ep30         1.10%    4.80%
ep35        55.80%   72.00%
ep40        57.80%   74.10%
ep45        58.00%   73.60%
ep50        59.80%   75.60%
ep55        60.20%   75.60%
ep60        60.80%   76.10%
ep65        61.00%   76.30%
ep70        61.00%   76.60%
ep75        61.00%   76.60%
ep80        60.90%   76.50%
