Checkpoint sweep — classical — logs/agvpreid_qplr/80ep_kl01
Epoch        Rank-1   Rank-5
------------------------------
ep05        47.70%   65.50%
ep10        48.40%   64.80%
ep15        44.30%   62.50%
ep20        54.30%   73.10%
ep25        51.00%   68.00%
ep30        34.20%   53.30%
ep35        60.60%   76.10%
ep40        61.20%   76.50%
ep45        59.80%   75.10%
ep50        61.40%   76.90%
ep55        61.90%   77.60%
ep60        62.40%   77.70%
ep65        62.60%   77.80%
ep70        62.80%   78.00%
ep75        62.80%   78.00%
ep80        62.80%   78.20%
