Checkpoint sweep — ham — logs/agvpreid_qtd_ham_160ep
Epoch        Rank-1   Rank-5
------------------------------
ep10        51.60%   67.60%
ep100       58.30%   75.40%
ep110       58.30%   75.60%
ep120       58.40%   75.70%
ep130       58.20%   75.60%
ep140       58.50%   75.60%
ep150       58.50%   75.70%
ep160       58.60%   75.60%
ep20        55.50%   71.30%
ep30        38.10%   57.80%
ep40        56.00%   71.90%
ep50        58.50%   74.60%
ep60        58.20%   74.50%
ep70        57.90%   75.40%
ep80        57.90%   75.30%
ep90        58.00%   75.50%
